0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:12 +0900] "POST /LectureSystem/FramesetPage.jsp HTTP/1.1" 200 444
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:12 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:12 +0900] "GET /LectureSystem/pptView.jsp HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:12 +0900] "GET /LectureSystem/Meun.jsp HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:12 +0900] "GET /LectureSystem/ListSet.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:13 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:13 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:14 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:14 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:15 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:15 +0900] "GET /LectureSystem/List3.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:23 +0900] "GET /LectureSystem/List1.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:24 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [12/Apr/2017:14:05:24 +0900] "GET /LectureSystem/List2.jsp HTTP/1.1" 200 915
